group_id,Location,Site,Management,Treatment,n_obs,mean_SumN,sd_SumN,cv_SumN
De_S1_Ex_C,De,S1,Ex,C,9,1046304.6724991469,544505.5373096673,0.49064556171851786
De_S1_In_C,De,S1,In,C,9,1062799.0262068803,420737.203268748,0.3732359830884065
De_S2_Ex_C,De,S2,Ex,C,12,1641435.6427093085,775069.4272622655,0.45208746584132165
De_S2_In_C,De,S2,In,C,12,1681201.4836094684,805990.8809805709,0.45900359093096443
De_S3_Ex_C,De,S3,Ex,C,12,2196012.0778327654,761819.2252292582,0.33214133237566307
De_S3_In_C,De,S3,In,C,12,2674939.835069255,870834.1808142805,0.31169308563188314
De_S4_Ex_C,De,S4,Ex,C,12,1995897.663159028,578158.9337664619,0.27734139179429806
De_S4_In_C,De,S4,In,C,12,1515266.7282909043,593974.7900194892,0.37530525462666914
De_S5_Ex_C,De,S5,Ex,C,12,1079730.9077704416,562031.8297777501,0.4983690893523246
De_S5_In_C,De,S5,In,C,12,1154977.5232291825,602101.4619463339,0.49911643273836476
Sc_S1_Ex_C,Sc,S1,Ex,C,12,1233538.1610637624,1233008.7890074325,0.9570162285692835
Sc_S1_In_C,Sc,S1,In,C,12,1573498.309570627,569314.572282209,0.34641105174903647
Sc_S2_Ex_C,Sc,S2,Ex,C,12,1011932.8692144313,429702.96344356413,0.4065578636688403
Sc_S2_In_C,Sc,S2,In,C,11,1134572.3660500497,657462.5265497629,0.5525129481854778
Sc_S3_Ex_C,Sc,S3,Ex,C,12,950006.3819343759,432017.2861370487,0.43539187592058626
Sc_S3_In_C,Sc,S3,In,C,12,1231534.7969096133,1002972.6952820328,0.7797369990780159
Sc_S4_Ex_C,Sc,S4,Ex,C,12,990170.0997284307,711816.6469989422,0.6882782602463221
Sc_S4_In_C,Sc,S4,In,C,12,3214506.023249514,2033774.7515740134,0.6057512613583395
Sc_S5_Ex_C,Sc,S5,Ex,C,12,1930412.8857193359,1132524.3937478226,0.5616982578136015
Sc_S5_In_C,Sc,S5,In,C,12,2096747.1921455276,1574165.6585821586,0.7188033346468703
Yo_S1_Ex_C,Yo,S1,Ex,C,12,1610424.93510992,658521.8305467897,0.39150328454880023
Yo_S1_In_C,Yo,S1,In,C,12,1377087.1719658922,613261.9960993165,0.42637363209479523
Yo_S2_Ex_C,Yo,S2,Ex,C,11,1059892.3577893449,980085.3159145406,0.8816694224897793
Yo_S2_In_C,Yo,S2,In,C,12,1052379.1105761041,660252.3399049796,0.6006803839336233
Yo_S3_Ex_C,Yo,S3,Ex,C,12,1318014.1308634419,360235.34376620443,0.2616808691328227
Yo_S3_In_C,Yo,S3,In,C,12,636896.9384512512,296435.28509323753,0.4456218275030497
Yo_S4_Ex_C,Yo,S4,Ex,C,12,1621871.5344095314,478619.0192066697,0.282539531371113
Yo_S4_In_C,Yo,S4,In,C,12,1874294.9155681499,672429.1195996703,0.34349016358202045
Yo_S5_Ex_C,Yo,S5,Ex,C,11,2031684.757950438,596924.6034328452,0.2801346398580222
Yo_S5_In_C,Yo,S5,In,C,12,1718974.7590340655,738748.6316138963,0.41146500959821747
