group_id,cv_SumN,ensemble_median,p01,p99,p20,p80
De_S1_Ex_C,0.49064556171851786,0.48545099195389974,0.25187108268226016,0.9063826918462201,0.3913112236725387,0.5973762041621125
De_S1_In_C,0.3732359830884065,0.5181289427041543,0.25697639492974494,0.9614925371806354,0.41509944427272644,0.6414531031181133
De_S2_Ex_C,0.45208746584132165,0.4991881510977465,0.2708877052183544,0.7870647884008674,0.4155779763826432,0.5885150257243477
De_S2_In_C,0.45900359093096443,0.5193637488936771,0.29756682245101457,0.9473273976166097,0.4253408953776321,0.6349098277732866
De_S3_Ex_C,0.33214133237566307,0.5109181255692453,0.2842291928648524,0.8533330774527552,0.4243422163433576,0.610885084258319
De_S3_In_C,0.31169308563188314,0.5606781517209164,0.3075403779387567,0.9350832892772883,0.4576118695791525,0.6684408651989071
De_S4_Ex_C,0.27734139179429806,0.55348490747734,0.30155687679571935,0.938132435487272,0.45211719481944873,0.665736507519571
De_S4_In_C,0.37530525462666914,0.5114443991536725,0.28715368681548664,0.8770761130382331,0.42154298042042787,0.6084529523084243
De_S5_Ex_C,0.4983690893523246,0.5115312037575979,0.2910977867086712,0.824741427204262,0.4218628905224841,0.6193611271406071
De_S5_In_C,0.49911643273836476,0.4623344550488554,0.2601873590596364,0.8242263202101684,0.39229900003149387,0.5702813906775349
Sc_S1_Ex_C,0.9570162285692835,0.5327306201186736,0.30474586736249104,0.9114304261777337,0.43924854524175166,0.6347533178529965
Sc_S1_In_C,0.34641105174903647,0.5295756439451149,0.31381860782642207,0.9242256510167662,0.4415392735032848,0.6382123161011529
Sc_S2_Ex_C,0.4065578636688403,0.4972562021890056,0.2970892714390082,0.8108234595934872,0.41484835659550656,0.6057645576290626
Sc_S2_In_C,0.5525129481854778,0.5380523836600208,0.3200727925693228,0.9668987389281254,0.44666783333332694,0.6527519586953631
Sc_S3_Ex_C,0.43539187592058626,0.4593761424051028,0.25103990661201625,0.7505742588588525,0.385448766398672,0.5692192966361826
Sc_S3_In_C,0.7797369990780159,0.6274143543647551,0.34301849453633354,1.1692266979318031,0.5138565630584682,0.76367826502101
Sc_S4_Ex_C,0.6882782602463221,0.5225281901217251,0.2841154994438891,0.893995864858589,0.43484652806755164,0.6181512405977473
Sc_S4_In_C,0.6057512613583395,0.5386997572231058,0.3197153220804161,0.9339360102093607,0.4493085730463934,0.648332440427506
Sc_S5_Ex_C,0.5616982578136015,0.5763151081558725,0.334689027188622,0.9269858961334893,0.4752747101047136,0.6916835967090672
Sc_S5_In_C,0.7188033346468703,0.509684189177588,0.30767828712883544,0.8595620498711003,0.42038578708350927,0.617239632977213
Yo_S1_Ex_C,0.39150328454880023,0.5587738789852301,0.3048344304496359,0.9732292986871641,0.46246424658900676,0.6720222013151641
Yo_S1_In_C,0.42637363209479523,0.5405778793147831,0.31889054077321743,1.0498424247266525,0.4481284313443219,0.6527011578841103
Yo_S2_Ex_C,0.8816694224897793,0.5394616200418396,0.3060705160541208,0.99815723166435,0.44454546343674145,0.6566537214729478
Yo_S2_In_C,0.6006803839336233,0.5116374467708378,0.3068252635829067,0.9406937200011012,0.42654561275686553,0.6230446209251832
Yo_S3_Ex_C,0.2616808691328227,0.5197814184463447,0.2921870868248364,0.9059614836110527,0.43264538198361413,0.625698015767525
Yo_S3_In_C,0.4456218275030497,0.5080584308752067,0.29518399745450896,0.8890547681975337,0.42316337161926504,0.6200201085499448
Yo_S4_Ex_C,0.282539531371113,0.5032041162931679,0.27302272974254405,0.8643023302557246,0.4170656842297388,0.6083991812754053
Yo_S4_In_C,0.34349016358202045,0.5125119038428795,0.28297697387623016,0.851899871852539,0.4258242717545677,0.6201703651429602
Yo_S5_Ex_C,0.2801346398580222,0.5642353751687486,0.3007623372505866,0.913153786625415,0.4558998783097997,0.6904746376373614
Yo_S5_In_C,0.41146500959821747,0.5223905910035925,0.28947116303417053,0.9336907940004836,0.4317805080923385,0.6274643028277505
