group_id,Location,Site,Management,Treatment,entropy,total_flux,dominant_real_eigenvalue,reactivity
De_S1_Ex_C,De,S1,Ex,C,51.81916430343641,582.5769520540106,-4.323094957430281e-05,0.099899949035252
De_S1_In_C,De,S1,In,C,35.28480555548445,512.1786255444258,-3.209357658167363e-05,0.12664095714098195
De_S2_Ex_C,De,S2,Ex,C,53.222612554821495,805.6232853536006,-3.549949003109756e-05,0.10062284480377702
De_S2_In_C,De,S2,In,C,46.59733111837146,854.707667532373,-4.691131701316133e-05,0.11666605573632184
De_S3_Ex_C,De,S3,Ex,C,52.11013002286062,1065.454858049601,-0.00010351686403825215,0.0873167860031559
De_S3_In_C,De,S3,In,C,43.944484551122486,1342.4976852194166,-1.6629714266441724e-05,0.13061789005579008
De_S4_Ex_C,De,S4,Ex,C,41.32888273910325,871.4839823455612,-4.678932801260431e-05,0.09731333511806946
De_S4_In_C,De,S4,In,C,37.052720745003555,694.7676376766938,-1.381659360753808e-05,0.1233230753955632
De_S5_Ex_C,De,S5,Ex,C,40.3182210284284,757.7155222888655,-5.616015986096635e-05,0.10777368804167774
De_S5_In_C,De,S5,In,C,27.391614070663906,445.62502065625597,-2.332918496336144e-05,0.130694963891906
Sc_S1_Ex_C,Sc,S1,Ex,C,19.690985673580407,431.65903857005253,-3.8905102181555786e-05,0.09499685555706602
Sc_S1_In_C,Sc,S1,In,C,23.999811316809154,551.9071533711136,-7.1547367493101865e-06,0.10270260508429094
Sc_S2_Ex_C,Sc,S2,Ex,C,20.857449866364753,337.63962936586756,-4.0871879148759e-05,0.0684265615702979
Sc_S2_In_C,Sc,S2,In,C,26.944970041014265,410.84413932719576,-7.076983778680754e-06,0.09877630093694217
Sc_S3_Ex_C,Sc,S3,Ex,C,31.856145761422987,377.8500840205095,-5.6712191720570106e-05,0.09657752349330999
Sc_S3_In_C,Sc,S3,In,C,23.80300328489876,536.5712606222199,-1.4191905167137899e-05,0.11019885478592005
Sc_S4_Ex_C,Sc,S4,Ex,C,23.802973788254963,368.4202609326198,-1.4763091500848801e-05,0.09580656332681824
Sc_S4_In_C,Sc,S4,In,C,26.782260726785168,1215.4820918531207,-1.0528143139863279e-05,0.08934284651648719
Sc_S5_Ex_C,Sc,S5,Ex,C,17.9911762974802,612.1004436178121,-4.1355560687249125e-05,0.10837508201202305
Sc_S5_In_C,Sc,S5,In,C,44.28741401360999,759.7551099131159,-1.8247460154719348e-05,0.09410338583600107
Yo_S1_Ex_C,Yo,S1,Ex,C,27.404028022372408,739.6604357541046,-1.5696439665707426e-05,0.11199543323652758
Yo_S1_In_C,Yo,S1,In,C,33.20778920894748,559.8836555420144,-1.724393867478004e-05,0.11679614557793562
Yo_S2_Ex_C,Yo,S2,Ex,C,25.962350316031632,528.5891947534959,-2.5322596878074756e-05,0.13108310773275578
Yo_S2_In_C,Yo,S2,In,C,26.591571288069062,438.14946393219907,-1.7251342804877395e-05,0.12942783893571153
Yo_S3_Ex_C,Yo,S3,Ex,C,31.76171622582697,562.2548389079427,-1.5871554878803344e-05,0.10148168109329844
Yo_S3_In_C,Yo,S3,In,C,29.184193922802024,332.5182758132105,-3.191118727821789e-05,0.11990904018303554
Yo_S4_Ex_C,Yo,S4,Ex,C,42.582526059575386,675.5648883304846,-4.559055103692469e-05,0.1273073007925949
Yo_S4_In_C,Yo,S4,In,C,45.93453536212169,798.1404333378943,-4.23902050735171e-05,0.13859321207155148
Yo_S5_Ex_C,Yo,S5,Ex,C,44.87238403962806,814.0192117449207,-3.651279150273381e-05,0.15441717228776838
Yo_S5_In_C,Yo,S5,In,C,41.90665287572169,750.4737440033426,-7.362788026222439e-05,0.11869788368133305
